cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
hiba,0,0.05,B,189,False,0.9931506849315068,0.974025974025974,,1.0,1.0,5.845890410958904,292
hiba,0,0.05,M1,24,False,1.0,1.0,0.0,1.0,1.0,6.25,16
hiba,0,0.05,M2,206,False,0.9203539823008849,0.9130434782608695,0.0,1.0,1.0,6.247787610619469,113
hiba,0,0.05,M3,22,False,1.0,1.0,0.0,1.0,1.0,6.642857142857143,14
hiba,0,0.1,B,189,False,0.9726027397260274,0.9064935064935065,,0.958904109589041,0.9652347652347653,3.8116438356164384,292
hiba,0,0.1,M1,24,False,1.0,1.0,0.0,1.0,1.0,4.75,16
hiba,0,0.1,M2,206,False,0.8672566371681416,0.8586956521739131,0.02654867256637168,0.9734513274336283,0.9782608695652174,4.477876106194691,113
hiba,0,0.1,M3,22,False,1.0,1.0,0.0,1.0,1.0,4.5,14
hiba,0,0.15,B,189,False,0.9486301369863014,0.8521645021645021,,0.8904109589041096,0.9137709825679748,3.106164383561644,292
hiba,0,0.15,M1,24,False,1.0,1.0,0.0,1.0,1.0,4.25,16
hiba,0,0.15,M2,206,False,0.8672566371681416,0.8586956521739131,0.02654867256637168,0.9734513274336283,0.9782608695652174,3.8849557522123894,113
hiba,0,0.15,M3,22,False,1.0,1.0,0.0,1.0,1.0,4.285714285714286,14
pad,0,0.05,B,75,False,0.967741935483871,0.9738095238095239,,0.956989247311828,0.9619047619047618,3.827956989247312,93
pad,0,0.05,M1,26,False,0.95,0.9615384615384616,0.0,1.0,1.0,3.9,20
pad,0,0.05,M2,142,False,0.967741935483871,0.9646464646464646,0.008064516129032258,0.9919354838709677,0.98989898989899,4.290322580645161,124
pad,0,0.05,M3,59,False,0.9615384615384616,0.9523809523809523,0.019230769230769232,0.9807692307692307,0.9761904761904762,4.076923076923077,52
pad,0,0.05,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.5,6
pad,0,0.05,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
pad,0,0.1,B,75,False,0.956989247311828,0.9666666666666668,,0.9032258064516129,0.9071428571428571,3.2795698924731185,93
pad,0,0.1,M1,26,False,0.9,0.8846153846153846,0.05,0.95,0.9230769230769231,3.5,20
pad,0,0.1,M2,142,False,0.9032258064516129,0.8905723905723906,0.024193548387096774,0.9758064516129032,0.9696969696969697,3.75,124
pad,0,0.1,M3,59,False,0.8269230769230769,0.8174603174603173,0.019230769230769232,0.9807692307692307,0.9761904761904762,3.423076923076923,52
pad,0,0.1,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.0,6
pad,0,0.1,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
pad,0,0.15,B,75,False,0.9354838709677419,0.9476190476190478,,0.8924731182795699,0.9023809523809524,2.7311827956989245,93
pad,0,0.15,M1,26,False,0.7,0.7051282051282052,0.15,0.85,0.8461538461538461,2.4,20
pad,0,0.15,M2,142,False,0.8629032258064516,0.8501683501683502,0.024193548387096774,0.9758064516129032,0.9696969696969697,3.225806451612903,124
pad,0,0.15,M3,59,False,0.8076923076923077,0.8055555555555555,0.038461538461538464,0.9615384615384616,0.9523809523809523,2.980769230769231,52
pad,0,0.15,M4,8,False,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,3.6666666666666665,6
pad,0,0.15,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
hiba,1,0.05,B,184,False,0.9864864864864865,0.975609756097561,,1.0,1.0,6.238738738738738,222
hiba,1,0.05,M1,19,False,1.0,1.0,0.0,1.0,1.0,6.2105263157894735,19
hiba,1,0.05,M2,217,False,0.9797979797979798,0.9814814814814815,0.0,1.0,1.0,6.606060606060606,99
hiba,1,0.05,M3,23,False,1.0,1.0,0.0,1.0,1.0,6.666666666666667,9
hiba,1,0.1,B,184,False,0.9594594594594594,0.9085365853658537,,0.954954954954955,0.9734521575984991,3.9864864864864864,222
hiba,1,0.1,M1,19,False,1.0,1.0,0.0,1.0,1.0,4.526315789473684,19
hiba,1,0.1,M2,217,False,0.898989898989899,0.8981481481481481,0.0,1.0,1.0,4.787878787878788,99
hiba,1,0.1,M3,23,False,0.7777777777777778,0.75,0.0,1.0,1.0,4.333333333333333,9
hiba,1,0.15,B,184,False,0.9414414414414415,0.8780487804878049,,0.9099099099099099,0.9349906191369607,3.355855855855856,222
hiba,1,0.15,M1,19,False,0.6842105263157895,0.6904761904761905,0.10526315789473684,0.8947368421052632,0.8571428571428571,3.6315789473684212,19
hiba,1,0.15,M2,217,False,0.8585858585858586,0.8662551440329217,0.010101010101010102,0.98989898989899,0.9876543209876543,4.02020202020202,99
hiba,1,0.15,M3,23,False,0.7777777777777778,0.75,0.0,1.0,1.0,4.0,9
pad,1,0.05,B,82,False,0.9743589743589743,0.978835978835979,,0.9487179487179487,0.9470899470899472,3.923076923076923,78
pad,1,0.05,M1,16,True,1.0,1.0,0.0,1.0,1.0,4.916666666666667,36
pad,1,0.05,M2,154,False,0.9459459459459459,0.9425287356321839,0.0,1.0,1.0,4.18018018018018,111
pad,1,0.05,M3,59,False,0.98,0.9761904761904762,0.02,0.98,0.9761904761904762,4.12,50
pad,1,0.05,M4,6,True,1.0,1.0,0.0,1.0,1.0,5.375,8
