cohort,draw,top1,bal_acc,macro_f1,auc_ovr,n
hiba,0,0.6666666666666666,0.47020499377868974,0.46419295961577944,0.8503400416902488,435
pad,0,0.5709459459459459,0.5584401709401711,0.39789234612764024,0.8531190490906729,296
hiba,1,0.5902578796561605,0.5109911913483343,0.4804102943848785,0.8618416342982476,349
pad,1,0.5782312925170068,0.6499839638268663,0.42664799507042245,0.8781324068952486,294
hiba,2,0.5015873015873016,0.37141416462418303,0.3831247514673009,0.8135704330759329,315
pad,2,0.6085526315789473,0.6081056194315863,0.4108143898585075,0.8483389476266058,304
hiba,3,0.5,0.37290914471849346,0.3731433930908186,0.7829122360713738,330
pad,3,0.5677655677655677,0.5844408940153621,0.4269778523813781,0.8537229360482007,273
hiba,4,0.5439560439560439,0.4520224587006574,0.4470707091815381,0.8209095240053317,364
pad,4,0.6048109965635738,0.5652633691095229,0.39473238374384534,0.8540285578000195,291
hiba,5,0.5819935691318328,0.47525253964224845,0.46460088340329575,0.855038787645926,311
pad,5,0.5884476534296029,0.49147459150904144,0.3345156179122023,0.8515242922778216,277
hiba,6,0.5201465201465202,0.4293265639589169,0.42147591461433814,0.8214476380685207,273
pad,6,0.5777027027027027,0.5967282717282717,0.40546711828544124,0.8643431337720763,296
hiba,7,0.5520833333333334,0.4351751362980583,0.4395848028482934,0.8182958652829451,384
pad,7,0.6015037593984962,0.6022100526056221,0.37309568540911825,0.8507952628100148,266
hiba,8,0.5604395604395604,0.4858894680658896,0.47501217886237246,0.7987780396056817,364
pad,8,0.6082474226804123,0.5501163909189325,0.40560613081697416,0.8558739934115835,291
hiba,9,0.6361031518624641,0.4292921893246227,0.4414661720293754,0.8018442285840051,349
pad,9,0.5463576158940397,0.5104439679066545,0.374875996004631,0.8097102865290018,302
hiba,10,0.4798657718120805,0.35971949145711335,0.3731206098779856,0.7580647678723915,298
pad,10,0.5836298932384342,0.567798486916134,0.38556408481302895,0.8550707113560132,281
hiba,11,0.51875,0.4203535064681719,0.4150938823818081,0.8219474248113681,320
pad,11,0.5610687022900763,0.44089081832710014,0.31137049015739643,0.8256476274486394,262
hiba,12,0.6257142857142857,0.4360312218292767,0.4450284940202543,0.8389865969885191,350
pad,12,0.5746268656716418,0.5067890729959695,0.3073415041698923,0.8531403329764196,268
hiba,13,0.5020242914979757,0.42535342346923233,0.4282734296233183,0.8034915626210937,247
pad,13,0.6221374045801527,0.5564945137214821,0.3965569756330626,0.8584437377863533,262
hiba,14,0.5988700564971752,0.4397774482373268,0.43684483385884065,0.8263445784060521,354
pad,14,0.5547945205479452,0.5037984089518314,0.3151688065554903,0.8457202524573261,292
hiba,15,0.5226480836236934,0.417093032415613,0.39093672644631605,0.8082844992226697,287
pad,15,0.6052631578947368,0.57736716761107,0.40447700281666127,0.8682823480565242,304
hiba,16,0.5466666666666666,0.4157138480526772,0.4067533276462262,0.7933658549096845,375
pad,16,0.5585284280936454,0.4736885359354996,0.34161517951302456,0.8234967850251765,299
hiba,17,0.6094808126410836,0.4489085056593648,0.43958521374337567,0.8471489298839656,443
pad,17,0.5582191780821918,0.4837297184497882,0.34236040219302744,0.8201084931066184,292
hiba,18,0.5763688760806917,0.46424383619568044,0.45637155208484204,0.8580519102775632,347
pad,18,0.5856164383561644,0.48416773043638717,0.35094754699373787,0.8374849902693661,292
hiba,19,0.5547445255474452,0.429557610264132,0.43303911147143226,0.8077373950309336,274
pad,19,0.5698529411764706,0.5522577630420767,0.3937721446276579,0.8475065144439583,272
hiba,20,0.49700598802395207,0.3600247164083024,0.3556149441763999,0.7967745813968996,334
pad,20,0.5842696629213483,0.573764994895026,0.38692285735527976,0.8536827311413634,267
hiba,21,0.5384615384615384,0.4108967013378778,0.4024908948135418,0.7947369597709211,273
pad,21,0.5857142857142857,0.46834768849173036,0.3475535073778264,0.8487954572500048,280
hiba,22,0.46567164179104475,0.38738967260158347,0.3474349082073601,0.7909078113792358,335
pad,22,0.5516014234875445,0.576500752705572,0.38005820549696384,0.8454230973136873,281
hiba,23,0.5,0.37575465792377555,0.3500092361271996,0.8144695198391387,276
pad,23,0.5871886120996441,0.562634279300946,0.3856382356382356,0.8332617472255324,281
hiba,24,0.4884488448844885,0.36560891204161916,0.3657618559718969,0.7632941017836768,303
pad,24,0.5408163265306123,0.4880802267426838,0.33257300727276906,0.8194121728888831,294
hiba,25,0.5062111801242236,0.40171699188284643,0.4112882715356597,0.789795612278847,322
pad,25,0.5338345864661654,0.4387395550186248,0.32222564825734257,0.828856375191938,266
hiba,26,0.5555555555555556,0.3808189568562468,0.3867965686176016,0.7974790025521981,405
pad,26,0.5743944636678201,0.596493151479185,0.3850858114907985,0.8593009173786634,289
hiba,27,0.5614035087719298,0.4012036664185338,0.4099742233454021,0.7972207408934133,399
pad,27,0.5865724381625441,0.5397741147741147,0.3692645103990213,0.8502637575710157,283
hiba,28,0.4984025559105431,0.4043045013510045,0.40106738133624886,0.8382354529445311,313
pad,28,0.5798045602605864,0.5554407668180122,0.40265242320490247,0.8438856326427421,307
hiba,29,0.5880829015544041,0.4298493425697024,0.4300740636123921,0.8077906139967976,386
pad,29,0.5932203389830508,0.5611873649100864,0.4009624157893686,0.8373005176600791,295
hiba,30,0.5336927223719676,0.3812395937395937,0.3740805068944353,0.7928872766167474,371
pad,30,0.5919732441471572,0.5596015543519404,0.3704691170989491,0.8622888290938379,299
hiba,31,0.5723076923076923,0.42778173165401423,0.436616569704805,0.7998964796292779,325
pad,31,0.578544061302682,0.4393174080674081,0.30693742948486863,0.8196498916602767,261
hiba,32,0.5387205387205387,0.4236086210700055,0.43119431643625195,0.7833218257276819,297
pad,32,0.6167247386759582,0.5625921013852048,0.3923915400960596,0.8683900443225513,287
hiba,33,0.5766423357664233,0.3478992412815942,0.31986759343110643,0.7797546826620957,411
pad,33,0.5409836065573771,0.4804803039408197,0.30777492245396265,0.8192789549061877,244
hiba,34,0.5102639296187683,0.40233601662380203,0.41216362470788537,0.7767055524834113,341
pad,34,0.5898305084745763,0.5133522727272727,0.37241941957011915,0.8342314537526905,295
hiba,35,0.5637982195845698,0.4777194479036732,0.4417611910662811,0.8523623233008654,337
pad,35,0.5734767025089605,0.5665678984621271,0.39144349799201617,0.8465233530312927,279
hiba,36,0.512987012987013,0.42922295175584646,0.43378165548206243,0.7953308462396755,308
pad,36,0.6294964028776978,0.5331531224504549,0.35625497130410305,0.8778841637766969,278
hiba,37,0.6036585365853658,0.4236529144031714,0.4194578997728111,0.8108831214924049,328
pad,37,0.6,0.5682589652042979,0.4004871990376153,0.8460725857364316,280
hiba,38,0.6453333333333333,0.47171556122448977,0.45560549403912787,0.8357299316233314,375
pad,38,0.562962962962963,0.46908019093545383,0.34616570508800537,0.8366764779658554,270
hiba,39,0.555858310626703,0.38773116625732557,0.35721742611076557,0.8234879958812141,367
pad,39,0.582089552238806,0.5529261217199507,0.393421942812744,0.8227122703783368,268
hiba,40,0.5694822888283378,0.47921834818657444,0.4752444147960768,0.8346185431870367,367
pad,40,0.5951557093425606,0.5917480667480667,0.4217331590193433,0.8555889823526378,289
hiba,41,0.6336088154269972,0.4381454734725758,0.44669362706966886,0.847144491089481,363
pad,41,0.5898305084745763,0.49491619491619493,0.35036289890128974,0.853535442213571,295
hiba,42,0.5278688524590164,0.45598599374908155,0.4461277064651957,0.8329245175471092,305
pad,42,0.5704225352112676,0.5653603381003981,0.39263385368462045,0.8497247174583217,284
hiba,43,0.5822784810126582,0.4944637900267671,0.46653083828001807,0.8483513192359209,316
