cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
hiba,0,0.05,1,10,1.0,1.0,5.3
hiba,0,0.05,2,130,0.9769230769230769,1.0,5.515384615384615
hiba,0,0.05,3,120,1.0,1.0,5.383333333333334
hiba,0,0.05,4,21,1.0,1.0,7.428571428571429
hiba,0,0.1,1,10,1.0,0.9,3.4
hiba,0,0.1,2,130,0.9307692307692308,0.9692307692307692,3.5615384615384613
hiba,0,0.1,3,120,1.0,0.9166666666666666,3.25
hiba,0,0.1,4,21,1.0,1.0,6.238095238095238
hiba,0,0.15,1,10,1.0,0.9,3.1
hiba,0,0.15,2,130,0.9,0.9230769230769231,2.8076923076923075
hiba,0,0.15,3,120,0.975,0.6166666666666667,2.15
hiba,0,0.15,4,21,1.0,1.0,5.666666666666667
pad,0,0.05,1,2,1.0,1.0,4.5
pad,0,0.05,2,7,1.0,1.0,3.857142857142857
pad,0,0.05,3,8,1.0,1.0,3.625
pad,0,0.05,4,1,1.0,1.0,6.0
pad,0,0.05,6,1,1.0,1.0,6.0
pad,0,0.1,1,2,0.5,1.0,3.5
pad,0,0.1,2,7,1.0,0.7142857142857143,3.0
pad,0,0.1,3,8,1.0,1.0,3.125
pad,0,0.1,4,1,1.0,1.0,4.0
pad,0,0.1,6,1,1.0,1.0,6.0
pad,0,0.15,1,2,0.0,1.0,3.0
pad,0,0.15,2,7,1.0,0.7142857142857143,2.7142857142857144
pad,0,0.15,3,8,1.0,1.0,2.875
pad,0,0.15,4,1,1.0,1.0,4.0
pad,0,0.15,6,1,1.0,1.0,6.0
hiba,1,0.05,1,20,1.0,1.0,5.65
hiba,1,0.05,2,129,1.0,1.0,6.0
hiba,1,0.05,3,43,0.9767441860465116,1.0,5.604651162790698
hiba,1,0.05,4,21,1.0,1.0,7.666666666666667
hiba,1,0.1,1,20,1.0,1.0,3.85
hiba,1,0.1,2,129,0.937984496124031,0.9534883720930233,3.883720930232558
hiba,1,0.1,3,43,0.9767441860465116,0.9302325581395349,2.9302325581395348
hiba,1,0.1,4,21,1.0,1.0,6.380952380952381
hiba,1,0.15,1,20,1.0,0.95,3.55
hiba,1,0.15,2,129,0.9224806201550387,0.9069767441860465,3.0697674418604652
hiba,1,0.15,3,43,0.9534883720930233,0.8372093023255814,2.6511627906976742
hiba,1,0.15,4,21,1.0,1.0,6.0476190476190474
pad,1,0.05,1,3,1.0,1.0,4.0
pad,1,0.05,2,6,0.8333333333333334,1.0,4.166666666666667
pad,1,0.05,3,7,1.0,1.0,3.857142857142857
pad,1,0.05,4,4,1.0,1.0,6.0
pad,1,0.1,1,3,1.0,1.0,3.6666666666666665
pad,1,0.1,2,6,0.8333333333333334,1.0,3.5
pad,1,0.1,3,7,1.0,1.0,3.2857142857142856
pad,1,0.1,4,4,1.0,1.0,5.5
pad,1,0.15,1,3,0.6666666666666666,1.0,2.3333333333333335
pad,1,0.15,2,6,0.6666666666666666,1.0,2.8333333333333335
pad,1,0.15,3,7,1.0,1.0,3.2857142857142856
pad,1,0.15,4,4,1.0,1.0,4.5
hiba,2,0.05,1,6,1.0,1.0,5.666666666666667
hiba,2,0.05,2,102,0.9901960784313726,1.0,5.862745098039215
hiba,2,0.05,3,54,0.9814814814814815,1.0,3.962962962962963
hiba,2,0.05,4,2,1.0,1.0,7.5
hiba,2,0.1,1,6,1.0,1.0,3.5
hiba,2,0.1,2,102,0.9509803921568627,0.9901960784313726,4.0
hiba,2,0.1,3,54,0.9814814814814815,0.9074074074074074,2.759259259259259
hiba,2,0.1,4,2,1.0,1.0,6.5
hiba,2,0.15,1,6,1.0,1.0,3.5
hiba,2,0.15,2,102,0.9411764705882353,0.9705882352941176,3.284313725490196
hiba,2,0.15,3,54,0.9814814814814815,0.7777777777777778,2.425925925925926
hiba,2,0.15,4,2,1.0,1.0,6.5
pad,2,0.05,1,1,0.0,1.0,4.0
pad,2,0.05,2,11,0.9090909090909091,0.9090909090909091,2.8181818181818183
pad,2,0.05,3,4,1.0,1.0,3.25
pad,2,0.05,4,4,1.0,1.0,5.5
pad,2,0.1,1,1,0.0,1.0,4.0
pad,2,0.1,2,11,0.9090909090909091,0.9090909090909091,2.6363636363636362
pad,2,0.1,3,4,1.0,1.0,3.25
pad,2,0.1,4,4,1.0,1.0,4.0
pad,2,0.15,1,1,0.0,1.0,4.0
pad,2,0.15,2,11,0.9090909090909091,0.9090909090909091,2.6363636363636362
pad,2,0.15,3,4,1.0,1.0,3.25
pad,2,0.15,4,4,1.0,1.0,4.0
hiba,3,0.05,1,7,1.0,1.0,4.571428571428571
hiba,3,0.05,2,119,0.907563025210084,1.0,5.470588235294118
hiba,3,0.05,3,51,0.9803921568627451,1.0,5.0588235294117645
hiba,3,0.05,4,3,1.0,1.0,6.333333333333333
hiba,3,0.1,1,7,0.8571428571428571,1.0,3.2857142857142856
hiba,3,0.1,2,119,0.865546218487395,0.957983193277311,3.7983193277310923
hiba,3,0.1,3,51,0.9411764705882353,0.803921568627451,2.9607843137254903
hiba,3,0.1,4,3,0.6666666666666666,1.0,6.0
hiba,3,0.15,1,7,0.8571428571428571,0.8571428571428571,2.4285714285714284
hiba,3,0.15,2,119,0.7983193277310925,0.8907563025210085,2.764705882352941
hiba,3,0.15,3,51,0.9215686274509803,0.7647058823529411,2.392156862745098
hiba,3,0.15,4,3,0.6666666666666666,1.0,5.666666666666667
pad,3,0.05,1,2,1.0,1.0,2.5
pad,3,0.05,2,11,0.9090909090909091,1.0,3.727272727272727
pad,3,0.05,3,6,1.0,1.0,3.6666666666666665
pad,3,0.05,4,3,1.0,1.0,6.0
pad,3,0.1,1,2,1.0,1.0,2.5
pad,3,0.1,2,11,0.9090909090909091,0.9090909090909091,3.0
pad,3,0.1,3,6,1.0,1.0,3.3333333333333335
pad,3,0.1,4,3,1.0,1.0,3.0
pad,3,0.15,1,2,1.0,1.0,2.5
pad,3,0.15,2,11,0.9090909090909091,0.9090909090909091,2.909090909090909
pad,3,0.15,3,6,1.0,1.0,3.3333333333333335
pad,3,0.15,4,3,1.0,1.0,3.0
hiba,4,0.05,1,5,1.0,1.0,5.4
hiba,4,0.05,2,155,0.967741935483871,1.0,5.922580645161291
hiba,4,0.05,3,46,1.0,1.0,4.478260869565218
hiba,4,0.05,4,2,1.0,1.0,7.0
hiba,4,0.1,1,5,1.0,0.8,3.8
hiba,4,0.1,2,155,0.9354838709677419,0.967741935483871,4.032258064516129
hiba,4,0.1,3,46,0.9782608695652174,0.8260869565217391,2.717391304347826
hiba,4,0.1,4,2,1.0,1.0,7.0
hiba,4,0.15,1,5,1.0,0.8,3.4
hiba,4,0.15,2,155,0.9096774193548387,0.9483870967741935,3.0580645161290323
hiba,4,0.15,3,46,0.9565217391304348,0.5652173913043478,2.0217391304347827
hiba,4,0.15,4,2,0.5,1.0,5.5
pad,4,0.05,1,2,1.0,1.0,3.5
pad,4,0.05,2,7,1.0,1.0,3.5714285714285716
pad,4,0.05,3,5,1.0,1.0,4.4
pad,4,0.05,4,2,1.0,1.0,6.0
pad,4,0.1,1,2,1.0,1.0,3.5
pad,4,0.1,2,7,1.0,0.8571428571428571,3.2857142857142856
pad,4,0.1,3,5,1.0,1.0,4.0
pad,4,0.1,4,2,1.0,1.0,6.0
pad,4,0.15,1,2,1.0,1.0,3.0
pad,4,0.15,2,7,1.0,0.7142857142857143,2.7142857142857144
pad,4,0.15,3,5,1.0,1.0,3.4
pad,4,0.15,4,2,1.0,1.0,5.0
hiba,5,0.05,1,4,1.0,1.0,5.5
hiba,5,0.05,2,113,1.0,1.0,6.292035398230088
hiba,5,0.05,3,32,0.96875,1.0,7.5
hiba,5,0.1,1,4,1.0,1.0,4.75
hiba,5,0.1,2,113,0.9646017699115044,0.9823008849557522,4.274336283185841
hiba,5,0.1,3,32,0.96875,1.0,3.65625
hiba,5,0.15,1,4,0.75,1.0,4.0
hiba,5,0.15,2,113,0.9380530973451328,0.8938053097345132,3.274336283185841
hiba,5,0.15,3,32,0.96875,0.8125,3.0
pad,5,0.05,1,2,1.0,1.0,5.0
pad,5,0.05,2,4,1.0,1.0,4.0
pad,5,0.05,3,4,1.0,1.0,4.75
pad,5,0.05,4,2,1.0,1.0,6.0
pad,5,0.1,1,2,1.0,1.0,3.5
pad,5,0.1,2,4,1.0,0.75,3.5
pad,5,0.1,3,4,1.0,1.0,4.5
pad,5,0.1,4,2,1.0,1.0,2.5
