draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
0,0.05,derm,318,72,0.9968553459119497,5.80503144654088,0.0,0.0,1.0
0,0.05,clin,25,19,0.84,5.44,0.0,0.0,1.0
0,0.05,both,92,63,0.9565217391304348,5.989130434782608,0.0,0.0,1.0
0,0.05,all,435,154,0.9793103448275862,5.8229885057471265,0.0,0.0,1.0
0,0.1,derm,318,72,0.9779874213836478,3.9213836477987423,0.027777777777777776,0.06097560975609756,0.9465408805031447
0,0.1,clin,25,19,0.8,3.44,0.0,0.0,1.0
0,0.1,both,92,63,0.9130434782608695,4.108695652173913,0.0,0.0,1.0
0,0.1,all,435,154,0.9540229885057471,3.933333333333333,0.012987012987012988,0.05338078291814947,0.960919540229885
0,0.15,derm,318,72,0.9559748427672956,3.018867924528302,0.027777777777777776,0.22764227642276422,0.8176100628930818
0,0.15,clin,25,19,0.68,2.76,0.0,0.0,1.0
0,0.15,both,92,63,0.8695652173913043,3.4130434782608696,0.0,0.034482758620689655,0.9891304347826086
0,0.15,all,435,154,0.9218390804597701,3.0873563218390805,0.012987012987012988,0.20284697508896798,0.864367816091954
1,0.05,derm,244,72,1.0,6.229508196721311,0.0,0.0,1.0
1,0.05,clin,21,14,0.9523809523809523,6.0476190476190474,0.0,0.0,1.0
1,0.05,both,84,50,0.9761904761904762,6.511904761904762,0.0,0.0,1.0
1,0.05,all,349,136,0.9914040114613181,6.286532951289399,0.0,0.0,1.0
1,0.1,derm,244,72,0.9713114754098361,4.274590163934426,0.0,0.05232558139534884,0.9631147540983607
1,0.1,clin,21,14,0.8571428571428571,3.9047619047619047,0.0,0.0,1.0
1,0.1,both,84,50,0.9047619047619048,4.333333333333333,0.0,0.0,1.0
1,0.1,all,349,136,0.9484240687679083,4.26647564469914,0.0,0.04225352112676056,0.9742120343839542
1,0.15,derm,244,72,0.9426229508196722,3.569672131147541,0.013888888888888888,0.11627906976744186,0.9139344262295082
1,0.15,clin,21,14,0.8095238095238095,3.0952380952380953,0.0,0.0,1.0
1,0.15,both,84,50,0.8809523809523809,3.6666666666666665,0.02,0.0,0.9880952380952381
1,0.15,all,349,136,0.9197707736389685,3.5644699140401146,0.014705882352941176,0.09389671361502347,0.9369627507163324
2,0.05,derm,213,88,0.9812206572769953,5.732394366197183,0.0,0.0,1.0
2,0.05,clin,13,7,1.0,5.615384615384615,0.0,0.0,1.0
2,0.05,both,89,56,0.9101123595505618,6.179775280898877,0.0,0.0,1.0
2,0.05,all,315,151,0.9619047619047619,5.853968253968254,0.0,0.0,1.0
2,0.1,derm,213,88,0.9624413145539906,4.093896713615023,0.011363636363636364,0.048,0.9671361502347418
2,0.1,clin,13,7,0.9230769230769231,3.769230769230769,0.0,0.0,1.0
2,0.1,both,89,56,0.8764044943820225,4.415730337078652,0.0,0.0,1.0
2,0.1,all,315,151,0.9365079365079365,4.171428571428572,0.006622516556291391,0.036585365853658534,0.9777777777777777
2,0.15,derm,213,88,0.9483568075117371,3.5258215962441315,0.011363636363636364,0.12,0.9248826291079812
2,0.15,clin,13,7,0.9230769230769231,3.1538461538461537,0.0,0.0,1.0
2,0.15,both,89,56,0.8539325842696629,3.7865168539325844,0.017857142857142856,0.0,0.9887640449438202
2,0.15,all,315,151,0.9206349206349206,3.5841269841269843,0.013245033112582781,0.09146341463414634,0.946031746031746
3,0.05,derm,225,84,0.9511111111111111,5.586666666666667,0.0,0.0,1.0
3,0.05,clin,12,5,0.75,4.833333333333333,0.0,0.0,1.0
3,0.05,both,93,61,0.9247311827956989,5.440860215053763,0.0,0.0,1.0
3,0.05,all,330,150,0.9363636363636364,5.5181818181818185,0.0,0.0,1.0
3,0.1,derm,225,84,0.9066666666666666,3.902222222222222,0.0,0.10638297872340426,0.9333333333333333
3,0.1,clin,12,5,0.6666666666666666,3.25,0.0,0.0,1.0
3,0.1,both,93,61,0.8817204301075269,4.204301075268817,0.0,0.0,1.0
3,0.1,all,330,150,0.8909090909090909,3.963636363636364,0.0,0.08333333333333333,0.9545454545454546
3,0.15,derm,225,84,0.8533333333333334,2.902222222222222,0.011904761904761904,0.1702127659574468,0.8888888888888888
3,0.15,clin,12,5,0.5,2.4166666666666665,0.0,0.0,1.0
3,0.15,both,93,61,0.8494623655913979,3.2580645161290325,0.01639344262295082,0.0625,0.967741935483871
3,0.15,all,330,150,0.8393939393939394,2.984848484848485,0.013333333333333334,0.14444444444444443,0.9151515151515152
4,0.05,derm,259,90,0.9806949806949807,5.953667953667954,0.0,0.0,1.0
4,0.05,clin,13,9,0.9230769230769231,5.461538461538462,0.0,0.0,1.0
4,0.05,both,92,57,0.9456521739130435,5.8478260869565215,0.0,0.0,1.0
4,0.05,all,364,156,0.9697802197802198,5.90934065934066,0.0,0.0,1.0
4,0.1,derm,259,90,0.9459459459459459,4.1698841698841695,0.0,0.08284023668639054,0.9459459459459459
4,0.1,clin,13,9,0.8461538461538461,3.769230769230769,0.0,0.0,1.0
4,0.1,both,92,57,0.9130434782608695,4.391304347826087,0.0,0.0,1.0
4,0.1,all,364,156,0.9340659340659341,4.211538461538462,0.0,0.0673076923076923,0.9615384615384616
4,0.15,derm,259,90,0.9034749034749034,3.2625482625482625,0.0,0.17159763313609466,0.888030888030888
4,0.15,clin,13,9,0.6923076923076923,2.3076923076923075,0.0,0.0,1.0
4,0.15,both,92,57,0.8804347826086957,3.5543478260869565,0.03508771929824561,0.0,0.9782608695652174
4,0.15,all,364,156,0.8901098901098901,3.302197802197802,0.01282051282051282,0.13942307692307693,0.9148351648351648
5,0.05,derm,195,83,1.0,6.748717948717949,0.0,0.0,1.0
5,0.05,clin,16,10,1.0,5.8125,0.0,0.0,1.0
5,0.05,both,100,69,0.98,6.74,0.0,0.0,1.0
5,0.05,all,311,162,0.9935691318327974,6.697749196141479,0.0,0.0,1.0
5,0.1,derm,195,83,0.9897435897435898,4.733333333333333,0.0,0.017857142857142856,0.9897435897435898
5,0.1,clin,16,10,0.9375,3.9375,0.0,0.0,1.0
5,0.1,both,100,69,0.93,4.69,0.0,0.0,1.0
5,0.1,all,311,162,0.9678456591639871,4.678456591639871,0.0,0.013422818791946308,0.9935691318327974
5,0.15,derm,195,83,0.9743589743589743,3.7487179487179487,0.0,0.15178571428571427,0.9128205128205128
5,0.15,clin,16,10,0.75,3.0,0.1,0.0,0.9375
5,0.15,both,100,69,0.91,3.98,0.0,0.03225806451612903,0.99
5,0.15,all,311,162,0.9421221864951769,3.784565916398714,0.006172839506172839,0.12080536912751678,0.9389067524115756
6,0.05,derm,180,94,0.9833333333333333,6.033333333333333,0.0,0.0,1.0
6,0.05,clin,10,3,0.8,5.8,0.0,0.0,1.0
6,0.05,both,83,45,0.963855421686747,6.120481927710843,0.0,0.0,1.0
6,0.05,all,273,142,0.9706959706959707,6.051282051282051,0.0,0.0,1.0
6,0.1,derm,180,94,0.9333333333333333,4.027777777777778,0.0,0.06976744186046512,0.9666666666666667
6,0.1,clin,10,3,0.8,3.6,0.0,0.0,1.0
6,0.1,both,83,45,0.9036144578313253,4.240963855421687,0.0,0.0,1.0
6,0.1,all,273,142,0.9194139194139194,4.076923076923077,0.0,0.04580152671755725,0.978021978021978
6,0.15,derm,180,94,0.8555555555555555,3.361111111111111,0.010638297872340425,0.09302325581395349,0.95
6,0.15,clin,10,3,0.8,2.9,0.3333333333333333,0.0,0.9
6,0.15,both,83,45,0.8795180722891566,3.602409638554217,0.022222222222222223,0.0,0.9879518072289156
6,0.15,all,273,142,0.8608058608058609,3.4175824175824174,0.02112676056338028,0.061068702290076333,0.9597069597069597
7,0.05,derm,293,77,0.9863481228668942,6.047781569965871,0.0,0.0,1.0
7,0.05,clin,15,12,0.9333333333333333,6.066666666666666,0.0,0.0,1.0
7,0.05,both,76,47,0.9473684210526315,6.657894736842105,0.0,0.0,1.0
7,0.05,all,384,136,0.9765625,6.169270833333333,0.0,0.0,1.0
7,0.1,derm,293,77,0.9556313993174061,3.7747440273037545,0.012987012987012988,0.06018518518518518,0.9522184300341296
7,0.1,clin,15,12,0.9333333333333333,3.933333333333333,0.0,0.0,1.0
