cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
hiba,0,0.05,M1,18,9,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,0,0.05,M2,122,96,0.0,0.0,0.029784160061428706,0.0,0.0
hiba,0,0.05,M3,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,0,0.05,B,281,68,0.0,0.0,0.013041892662910644,0.0,0.0
hiba,0,0.1,M1,18,9,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,0,0.1,M2,122,96,0.01639344262295082,0.001991524525716232,0.057964177976031935,0.0,0.048990403838464605
hiba,0,0.1,M3,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,0,0.1,B,281,68,0.05338078291814947,0.0301810799897364,0.08651598747528685,0.020100502512562814,0.08041928721173999
hiba,0,0.15,M1,18,9,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,0,0.15,M2,122,96,0.01639344262295082,0.001991524525716232,0.057964177976031935,0.0,0.05128205128205128
hiba,0,0.15,M3,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,0,0.15,B,281,68,0.20284697508896798,0.15740679305262242,0.2546755792557102,0.05708608461726584,0.31407118055555555
pad,0,0.05,M1,16,11,0.0,0.0,0.2059072142078227,0.0,0.0
pad,0,0.05,M2,136,97,0.0,0.0,0.026759558379143282,0.0,0.0
pad,0,0.05,M3,84,50,0.0,0.0,0.04296491962956506,0.0,0.0
pad,0,0.05,B,19,15,0.0,0.0,0.17646691180696533,0.0,0.0
pad,0,0.1,M1,16,11,0.0,0.0,0.2059072142078227,0.0,0.0
pad,0,0.1,M2,136,97,0.0,0.0,0.026759558379143282,0.0,0.0
pad,0,0.1,M3,84,50,0.0,0.0,0.04296491962956506,0.0,0.0
pad,0,0.1,B,19,15,0.10526315789473684,0.01301216437177747,0.33137666445676595,0.0,0.27249999999999974
pad,0,0.15,M1,16,11,0.0,0.0,0.2059072142078227,0.0,0.0
