variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
averaged,0,0.05,derm,318,72,0.9968553459119497,5.80503144654088,0.0,0.0,1.0
averaged,0,0.05,clin,25,19,0.84,5.44,0.0,0.0,1.0
averaged,0,0.05,both,92,63,0.9565217391304348,5.989130434782608,0.0,0.0,1.0
averaged,0,0.05,all,435,154,0.9793103448275862,5.8229885057471265,0.0,0.0,1.0
derm_only_for_mixed,0,0.05,derm,318,72,0.9937106918238994,4.443396226415095,0.013888888888888888,0.028455284552845527,0.9748427672955975
derm_only_for_mixed,0,0.05,clin,25,19,0.84,4.12,0.0,0.0,1.0
derm_only_for_mixed,0,0.05,both,92,63,0.967391304347826,5.3478260869565215,0.0,0.0,1.0
derm_only_for_mixed,0,0.05,all,435,154,0.9793103448275862,4.6160919540229886,0.006493506493506494,0.02491103202846975,0.9816091954022989
averaged,0,0.1,derm,318,72,0.9779874213836478,3.9213836477987423,0.027777777777777776,0.06097560975609756,0.9465408805031447
averaged,0,0.1,clin,25,19,0.8,3.44,0.0,0.0,1.0
averaged,0,0.1,both,92,63,0.9130434782608695,4.108695652173913,0.0,0.0,1.0
averaged,0,0.1,all,435,154,0.9540229885057471,3.933333333333333,0.012987012987012988,0.05338078291814947,0.960919540229885
derm_only_for_mixed,0,0.1,derm,318,72,0.9716981132075472,3.5440251572327046,0.027777777777777776,0.15040650406504066,0.8773584905660378
derm_only_for_mixed,0,0.1,clin,25,19,0.76,3.28,0.0,0.0,1.0
derm_only_for_mixed,0,0.1,both,92,63,0.967391304347826,4.608695652173913,0.0,0.034482758620689655,0.9891304347826086
derm_only_for_mixed,0,0.1,all,435,154,0.9586206896551724,3.754022988505747,0.012987012987012988,0.13523131672597866,0.9080459770114943
averaged,0,0.15,derm,318,72,0.9559748427672956,3.018867924528302,0.027777777777777776,0.22764227642276422,0.8176100628930818
averaged,0,0.15,clin,25,19,0.68,2.76,0.0,0.0,1.0
averaged,0,0.15,both,92,63,0.8695652173913043,3.4130434782608696,0.0,0.034482758620689655,0.9891304347826086
averaged,0,0.15,all,435,154,0.9218390804597701,3.0873563218390805,0.012987012987012988,0.20284697508896798,0.864367816091954
derm_only_for_mixed,0,0.15,derm,318,72,0.9465408805031447,2.7955974842767297,0.027777777777777776,0.2845528455284553,0.7735849056603774
derm_only_for_mixed,0,0.15,clin,25,19,0.68,2.6,0.0,0.0,1.0
derm_only_for_mixed,0,0.15,both,92,63,0.9021739130434783,3.8260869565217392,0.0,0.0,1.0
derm_only_for_mixed,0,0.15,all,435,154,0.9218390804597701,3.0022988505747126,0.012987012987012988,0.2491103202846975,0.8344827586206897
averaged,1,0.05,derm,244,72,1.0,6.229508196721311,0.0,0.0,1.0
averaged,1,0.05,clin,21,14,0.9523809523809523,6.0476190476190474,0.0,0.0,1.0
averaged,1,0.05,both,84,50,0.9761904761904762,6.511904761904762,0.0,0.0,1.0
averaged,1,0.05,all,349,136,0.9914040114613181,6.286532951289399,0.0,0.0,1.0
derm_only_for_mixed,1,0.05,derm,244,72,0.9795081967213115,4.864754098360656,0.0,0.01744186046511628,0.9877049180327869
derm_only_for_mixed,1,0.05,clin,21,14,0.8571428571428571,4.380952380952381,0.0,0.0,1.0
derm_only_for_mixed,1,0.05,both,84,50,1.0,5.428571428571429,0.0,0.0,1.0
derm_only_for_mixed,1,0.05,all,349,136,0.9770773638968482,4.97134670487106,0.0,0.014084507042253521,0.9914040114613181
averaged,1,0.1,derm,244,72,0.9713114754098361,4.274590163934426,0.0,0.05232558139534884,0.9631147540983607
averaged,1,0.1,clin,21,14,0.8571428571428571,3.9047619047619047,0.0,0.0,1.0
averaged,1,0.1,both,84,50,0.9047619047619048,4.333333333333333,0.0,0.0,1.0
