cohort,head,draw,top1,bal_acc,macro_f1,auc_ovr
pad,pad_only,0,0.6741573033707865,0.6247464024534087,0.45228634383046146,0.8963045789962233
pad,primary,0,0.6329588014981273,0.5510053703009866,0.4018479877681845,0.8657108666750832
hiba,pad_only,0,0.5816091954022988,0.3312176445005031,0.29446016261260555,0.7204910018993185
hiba,primary,0,0.6666666666666666,0.47020499377868974,0.46419295961577944,0.8503400416902488
pad,pad_only,1,0.6392857142857142,0.5550854920015098,0.40500222159173693,0.8702824403330459
pad,primary,1,0.5678571428571428,0.5304165870280998,0.38067877581392495,0.8234809857387062
hiba,pad_only,1,0.5157593123209169,0.3484813797313797,0.2868230482341848,0.7348574137195223
hiba,primary,1,0.5902578796561605,0.5109911913483343,0.4804102943848785,0.8618416342982476
pad,pad_only,2,0.6373239436619719,0.508423485762667,0.37056841939544033,0.858393066383877
pad,primary,2,0.5316901408450704,0.495045132472033,0.33741290499869653,0.8188158149255257
hiba,pad_only,2,0.46984126984126984,0.3222605187908497,0.3010618290018844,0.7158287901056004
hiba,primary,2,0.5015873015873016,0.37141416462418303,0.3831247514673009,0.8135704330759329
pad,pad_only,3,0.6381578947368421,0.5846837499125571,0.41854069348869416,0.8829915431611489
pad,primary,3,0.5592105263157895,0.4853571731384934,0.3404650397996589,0.8498082076243887
hiba,pad_only,3,0.4818181818181818,0.33899840239125956,0.31047503469631776,0.7177972458174813
hiba,primary,3,0.5,0.37290914471849346,0.3731433930908186,0.7829122360713738
pad,pad_only,4,0.624561403508772,0.5581534540680387,0.3876630319095994,0.8622835698338038
pad,primary,4,0.5789473684210527,0.47191845473306654,0.34375312339049174,0.8332516363493739
hiba,pad_only,4,0.521978021978022,0.34122824900672,0.30741506790305684,0.7469293676262996
hiba,primary,4,0.5439560439560439,0.4520224587006574,0.4470707091815381,0.8209095240053317
pad,pad_only,5,0.6594427244582043,0.6162052401182837,0.4029616100053589,0.8649296193167411
pad,primary,5,0.5727554179566563,0.5170068539633758,0.3552369403389655,0.8290855517063718
hiba,pad_only,5,0.5498392282958199,0.3928876148947449,0.36218915796456763,0.7470389675465243
hiba,primary,5,0.5819935691318328,0.47525253964224845,0.46460088340329575,0.855038787645926
pad,pad_only,6,0.6425992779783394,0.5744588378716168,0.39651108308616045,0.8675499201781393
pad,primary,6,0.5776173285198556,0.5158658081832525,0.34278248450354853,0.8419284259542631
hiba,pad_only,6,0.42857142857142855,0.2796287785947712,0.26222001250602733,0.7035298827042131
hiba,primary,6,0.5201465201465202,0.4293265639589169,0.42147591461433814,0.8214476380685207
pad,pad_only,7,0.6204379562043796,0.4941418224666307,0.3440693779074421,0.8564235802159511
pad,primary,7,0.5218978102189781,0.4673907838869476,0.30476371475808184,0.809683531703779
hiba,pad_only,7,0.5104166666666666,0.2957162659200703,0.27737120459240755,0.7167745463797112
hiba,primary,7,0.5520833333333334,0.4351751362980583,0.4395848028482934,0.8182958652829451
pad,pad_only,8,0.6517571884984026,0.5929625070491943,0.41577659972234426,0.889678172270294
pad,primary,8,0.5718849840255591,0.5339124240053033,0.3652248320150916,0.8506703844619797
hiba,pad_only,8,0.5274725274725275,0.3120682228030266,0.2855864300032887,0.7295220995264584
hiba,primary,8,0.5604395604395604,0.4858894680658896,0.47501217886237246,0.7987780396056817
pad,pad_only,9,0.6580645161290323,0.5767418220849593,0.42004162935682077,0.8901434825575301
pad,primary,9,0.5645161290322581,0.5315381423224561,0.37140769548328983,0.858696926380344
hiba,pad_only,9,0.501432664756447,0.31285002240143367,0.28510095072290786,0.732938613041764
hiba,primary,9,0.6361031518624641,0.4292921893246227,0.4414661720293754,0.8018442285840051
pad,pad_only,10,0.6195652173913043,0.5198559950564133,0.37529461648354967,0.8729426916689093
pad,primary,10,0.5507246376811594,0.47067956442302905,0.3234572216168846,0.8382995762014872
hiba,pad_only,10,0.4463087248322148,0.33774655316759594,0.3031546443650398,0.7282088318607658
hiba,primary,10,0.4798657718120805,0.35971949145711335,0.3731206098779856,0.7580647678723915
pad,pad_only,11,0.5915492957746479,0.4996216190766694,0.36934200422739477,0.8687408837801236
pad,primary,11,0.5704225352112676,0.5032555059195115,0.35483100802547884,0.8591440427449291
hiba,pad_only,11,0.53125,0.35761770315412045,0.3211891923090979,0.7471732709402519
hiba,primary,11,0.51875,0.4203535064681719,0.4150938823818081,0.8219474248113681
pad,pad_only,12,0.6466165413533834,0.44157095812130703,0.3230080668482621,0.8651449731641793
pad,primary,12,0.5864661654135338,0.5138109481080567,0.3507200491196632,0.8410584667526209
hiba,pad_only,12,0.5028571428571429,0.33239748746041653,0.3046944640514836,0.7382910813989066
hiba,primary,12,0.6257142857142857,0.4360312218292767,0.4450284940202543,0.8389865969885191
pad,pad_only,13,0.6262975778546713,0.5166643622617259,0.38765163493388693,0.8732041068958124
pad,primary,13,0.6055363321799307,0.5401673229714928,0.4107180596553567,0.8327640750189769
hiba,pad_only,13,0.44534412955465585,0.32116142214947363,0.29091522161609773,0.7161074668441862
hiba,primary,13,0.5020242914979757,0.42535342346923233,0.4282734296233183,0.8034915626210937
pad,pad_only,14,0.6561514195583596,0.6076188008533369,0.42791444451320704,0.8882410020360347
pad,primary,14,0.5457413249211357,0.48963126669312235,0.3369991410239088,0.8456158330410416
hiba,pad_only,14,0.4632768361581921,0.3137380034358934,0.280212234818641,0.7211957678366474
hiba,primary,14,0.5988700564971752,0.4397774482373268,0.43684483385884065,0.8263445784060521
pad,pad_only,15,0.6353790613718412,0.5836647566376204,0.4150016676517981,0.8777589308713831
pad,primary,15,0.5740072202166066,0.5537909160809339,0.38095580787047556,0.8457073179559386
hiba,pad_only,15,0.445993031358885,0.2878182972941037,0.2616262243620734,0.7145058303493266
hiba,primary,15,0.5226480836236934,0.417093032415613,0.39093672644631605,0.8082844992226697
pad,pad_only,16,0.6377358490566037,0.4856366902019076,0.35267833482722616,0.8731400148924608
pad,primary,16,0.5924528301886792,0.5129171311780008,0.3567491239849416,0.830798402834414
hiba,pad_only,16,0.5093333333333333,0.32754884256166095,0.2908189498039695,0.7318088906788591
