cohort,head,draw,alpha,stratum,degenerate,coverage,miss_rate,referral,set_size,n_test
pad,pad_only,0,0.05,M1,False,1.0,0.0,1.0,6.625,16
pad,pad_only,0,0.05,M2,False,0.9632352941176471,0.0,1.0,6.154411764705882,136
pad,pad_only,0,0.05,M3,False,0.9880952380952381,0.0,1.0,6.273809523809524,84
pad,pad_only,0,0.05,B,False,1.0,,1.0,5.2105263157894735,19
pad,primary,0,0.05,M1,False,1.0,0.0,1.0,4.5625,16
pad,primary,0,0.05,M2,False,0.9632352941176471,0.0,1.0,4.088235294117647,136
pad,primary,0,0.05,M3,False,0.9880952380952381,0.0,1.0,4.380952380952381,84
pad,primary,0,0.05,B,False,1.0,,1.0,4.052631578947368,19
pad,pad_only,0,0.1,M1,False,0.875,0.0,1.0,2.5625,16
pad,pad_only,0,0.1,M2,False,0.8897058823529411,0.0,1.0,2.6544117647058822,136
pad,pad_only,0,0.1,M3,False,0.9642857142857143,0.0,1.0,3.238095238095238,84
pad,pad_only,0,0.1,B,False,0.9473684210526315,,0.7894736842105263,2.9473684210526314,19
pad,primary,0,0.1,M1,False,1.0,0.0,1.0,3.5625,16
pad,primary,0,0.1,M2,False,0.9264705882352942,0.0,1.0,3.2279411764705883,136
pad,primary,0,0.1,M3,False,0.9761904761904762,0.0,1.0,3.261904761904762,84
pad,primary,0,0.1,B,False,0.9473684210526315,,0.8947368421052632,3.3157894736842106,19
pad,pad_only,0,0.15,M1,False,0.875,0.0,1.0,2.4375,16
pad,pad_only,0,0.15,M2,False,0.8382352941176471,0.0,1.0,2.3529411764705883,136
pad,pad_only,0,0.15,M3,False,0.9523809523809523,0.0,1.0,2.9166666666666665,84
pad,pad_only,0,0.15,B,False,0.9473684210526315,,0.631578947368421,2.526315789473684,19
pad,primary,0,0.15,M1,False,0.9375,0.0,1.0,2.9375,16
pad,primary,0,0.15,M2,False,0.875,0.0,1.0,2.823529411764706,136
pad,primary,0,0.15,M3,False,0.9166666666666666,0.0,1.0,2.9285714285714284,84
pad,primary,0,0.15,B,False,0.8947368421052632,,0.8947368421052632,3.0526315789473686,19
hiba,pad_only,0,0.05,M1,False,1.0,0.0,1.0,7.833333333333333,18
hiba,pad_only,0,0.05,M2,False,0.9262295081967213,0.0,1.0,7.131147540983607,122
hiba,pad_only,0,0.05,M3,False,1.0,0.0,1.0,7.928571428571429,14
hiba,pad_only,0,0.05,B,False,1.0,,1.0,7.217081850533808,281
hiba,primary,0,0.05,M1,False,1.0,0.0,1.0,6.333333333333333,18
hiba,primary,0,0.05,M2,False,0.9508196721311475,0.0,1.0,6.213114754098361,122
hiba,primary,0,0.05,M3,False,1.0,0.0,1.0,6.357142857142857,14
hiba,primary,0,0.05,B,False,0.9893238434163701,,1.0,5.594306049822064,281
hiba,pad_only,0,0.1,M1,False,1.0,0.0,1.0,6.833333333333333,18
hiba,pad_only,0,0.1,M2,False,0.8852459016393442,0.0,1.0,6.295081967213115,122
hiba,pad_only,0,0.1,M3,False,1.0,0.0,1.0,7.571428571428571,14
hiba,pad_only,0,0.1,B,False,0.9893238434163701,,1.0,6.434163701067615,281
hiba,primary,0,0.1,M1,False,1.0,0.0,1.0,4.611111111111111,18
hiba,primary,0,0.1,M2,False,0.9098360655737705,0.01639344262295082,0.9836065573770492,4.5,122
hiba,primary,0,0.1,M3,False,1.0,0.0,1.0,4.357142857142857,14
hiba,primary,0,0.1,B,False,0.9679715302491103,,0.9466192170818505,3.622775800711744,281
hiba,pad_only,0,0.15,M1,False,1.0,0.0,1.0,5.222222222222222,18
hiba,pad_only,0,0.15,M2,False,0.8524590163934426,0.0,1.0,4.745901639344262,122
hiba,pad_only,0,0.15,M3,False,0.7857142857142857,0.07142857142857142,0.9285714285714286,4.714285714285714,14
hiba,pad_only,0,0.15,B,False,0.9572953736654805,,0.9679715302491103,4.124555160142349,281
hiba,primary,0,0.15,M1,False,0.9444444444444444,0.0,1.0,3.9444444444444446,18
hiba,primary,0,0.15,M2,False,0.8688524590163934,0.01639344262295082,0.9836065573770492,3.7049180327868854,122
hiba,primary,0,0.15,M3,False,0.9285714285714286,0.0,1.0,3.357142857142857,14
hiba,primary,0,0.15,B,False,0.9430604982206405,,0.797153024911032,2.7508896797153026,281
pad,pad_only,1,0.05,M1,False,1.0,0.0,1.0,6.809523809523809,21
