cohort,draw,cls,n,f1,auc
hiba,0,MEL,47,0.6190476190476191,0.8498574248738758
hiba,0,NV,248,0.8596112311015118,0.9300931516301536
hiba,0,BCC,74,0.6412213740458015,0.9446357715055776
hiba,0,AK,11,0.15789473684210525,0.847770154373928
hiba,0,BKL,13,0.1686746987951807,0.7962085308056872
hiba,0,DF,10,0.5555555555555556,0.8105882352941177
hiba,0,VASC,10,0.46153846153846156,0.8032941176470589
hiba,0,SCC,22,0.25,0.8202729473915915
pad,0,MEL,10,0.5333333333333333,0.9770428015564201
pad,0,NV,10,0.6,0.964591439688716
pad,0,BCC,157,0.754325259515571,0.830775911986103
pad,0,AK,51,0.6178861788617886,0.8562999273783588
pad,0,BKL,9,0.5217391304347826,0.9138673557278209
pad,0,DF,0,,
pad,0,VASC,0,,
pad,0,SCC,30,0.1875,0.6516877637130801
hiba,1,MEL,49,0.4888888888888889,0.814625850340136
hiba,1,NV,168,0.797427652733119,0.904498816101026
hiba,1,BCC,52,0.5168539325842697,0.8983423983423984
hiba,1,AK,9,0.3125,0.922875816993464
hiba,1,BKL,18,0.325,0.8383685800604229
hiba,1,DF,12,0.47619047619047616,0.8088526211671612
hiba,1,VASC,15,0.6956521739130435,0.8848303393213574
hiba,1,SCC,26,0.23076923076923078,0.8223386520600142
pad,1,MEL,11,0.6666666666666666,0.9631632308212235
pad,1,NV,13,0.6,0.9282627484874676
pad,1,BCC,160,0.6805555555555556,0.7398958333333334
pad,1,AK,58,0.5588235294117647,0.8080925753339546
pad,1,BKL,7,0.37037037037037035,0.9314495028780743
pad,1,DF,0,,
pad,1,VASC,0,,
pad,1,SCC,31,0.16901408450704225,0.5700220235781838
hiba,2,MEL,45,0.46511627906976744,0.8360493827160493
hiba,2,NV,128,0.723404255319149,0.8868231951871657
hiba,2,BCC,64,0.5535714285714286,0.8636703187250996
hiba,2,AK,12,0.10526315789473684,0.7868536853685368
hiba,2,BKL,17,0.1917808219178082,0.7550335570469798
hiba,2,DF,10,0.25,0.7419672131147541
hiba,2,VASC,9,0.5,0.8587509077705157
hiba,2,SCC,30,0.27586206896551724,0.7794152046783626
pad,2,MEL,12,0.42105263157894735,0.944546568627451
pad,2,NV,14,0.6153846153846154,0.9537037037037037
pad,2,BCC,162,0.6548042704626335,0.7453703703703702
pad,2,AK,57,0.5103448275862069,0.7781899683128526
pad,2,BKL,6,0.3333333333333333,0.8920863309352518
pad,2,DF,0,,
pad,2,VASC,0,,
pad,2,SCC,33,0.1643835616438356,0.5989979476035253
hiba,3,MEL,49,0.5432098765432098,0.8803108431984894
hiba,3,NV,132,0.6946564885496184,0.8413682277318641
hiba,3,BCC,63,0.509090909090909,0.884192378574401
hiba,3,AK,14,0.10810810810810811,0.6570976491862568
hiba,3,BKL,15,0.21621621621621623,0.7468783068783069
hiba,3,DF,16,0.09523809523809523,0.6954617834394904
hiba,3,VASC,17,0.5833333333333334,0.7735388084946437
hiba,3,SCC,24,0.23529411764705882,0.7844498910675382
pad,3,MEL,11,0.35294117647058826,0.954390319578033
pad,3,NV,14,0.56,0.9450738916256157
pad,3,BCC,172,0.6819672131147541,0.786711592670895
pad,3,AK,62,0.5584415584415584,0.8368101839509465
pad,3,BKL,8,0.37037037037037035,0.9556587837837838
pad,3,DF,0,,
pad,3,VASC,0,,
pad,3,SCC,37,0.2,0.6202044741370584
hiba,4,MEL,38,0.4594594594594595,0.865918630933161
hiba,4,NV,165,0.7272727272727273,0.882046596619461
hiba,4,BCC,74,0.5864661654135338,0.8793103448275862
hiba,4,AK,15,0.3111111111111111,0.7921680993314232
hiba,4,BKL,16,0.1927710843373494,0.7729885057471264
hiba,4,DF,11,0.375,0.8035024465619367
hiba,4,VASC,16,0.6086956521739131,0.7385057471264368
hiba,4,SCC,29,0.3157894736842105,0.8328358208955224
pad,4,MEL,10,0.47058823529411764,0.902909090909091
pad,4,NV,10,0.5882352941176471,0.9494545454545454
pad,4,BCC,174,0.7161290322580646,0.7802889095992545
pad,4,AK,47,0.5190839694656488,0.80649919542285
pad,4,BKL,6,0.2222222222222222,0.941457586618877
