cohort,draw,alpha,stratum,coverage,n_test,referral
hiba,0,0.05,cov-MEL,0.9787234042553191,47,
hiba,0,0.05,sens-MEL,,47,1.0
hiba,0,0.05,cov-NV,1.0,248,
hiba,0,0.05,cov-BCC,0.9864864864864865,74,
hiba,0,0.05,sens-BCC,,74,1.0
hiba,0,0.05,cov-AK,1.0,11,
hiba,0,0.05,sens-AK,,11,1.0
hiba,0,0.05,cov-BKL,1.0,13,
hiba,0,0.05,cov-DF,0.8,10,
hiba,0,0.05,cov-VASC,1.0,10,
hiba,0,0.05,cov-SCC,0.8181818181818182,22,
hiba,0,0.05,sens-SCC,,22,1.0
hiba,0,0.1,cov-MEL,0.8936170212765957,47,
hiba,0,0.1,sens-MEL,,47,0.9574468085106383
hiba,0,0.1,cov-NV,0.9959677419354839,248,
hiba,0,0.1,cov-BCC,0.972972972972973,74,
hiba,0,0.1,sens-BCC,,74,1.0
hiba,0,0.1,cov-AK,0.9090909090909091,11,
hiba,0,0.1,sens-AK,,11,1.0
hiba,0,0.1,cov-BKL,1.0,13,
hiba,0,0.1,cov-DF,0.7,10,
hiba,0,0.1,cov-VASC,0.8,10,
hiba,0,0.1,cov-SCC,0.7727272727272727,22,
hiba,0,0.1,sens-SCC,,22,1.0
hiba,0,0.15,cov-MEL,0.8936170212765957,47,
hiba,0,0.15,sens-MEL,,47,0.9574468085106383
hiba,0,0.15,cov-NV,0.9798387096774194,248,
hiba,0,0.15,cov-BCC,0.9324324324324325,74,
hiba,0,0.15,sens-BCC,,74,1.0
hiba,0,0.15,cov-AK,0.9090909090909091,11,
hiba,0,0.15,sens-AK,,11,1.0
hiba,0,0.15,cov-BKL,1.0,13,
hiba,0,0.15,cov-DF,0.5,10,
hiba,0,0.15,cov-VASC,0.4,10,
hiba,0,0.15,cov-SCC,0.5909090909090909,22,
hiba,0,0.15,sens-SCC,,22,1.0
pad,0,0.05,cov-MEL,1.0,12,
pad,0,0.05,sens-MEL,,12,1.0
pad,0,0.05,cov-NV,1.0,13,
pad,0,0.05,cov-BCC,0.9871794871794872,156,
pad,0,0.05,sens-BCC,,156,1.0
pad,0,0.05,cov-AK,0.9583333333333334,72,
pad,0,0.05,sens-AK,,72,1.0
pad,0,0.05,cov-BKL,1.0,8,
pad,0,0.05,cov-SCC,0.8571428571428571,35,
pad,0,0.05,sens-SCC,,35,1.0
pad,0,0.1,cov-MEL,1.0,12,
pad,0,0.1,sens-MEL,,12,1.0
pad,0,0.1,cov-NV,1.0,13,
pad,0,0.1,cov-BCC,0.9166666666666666,156,
pad,0,0.1,sens-BCC,,156,1.0
pad,0,0.1,cov-AK,0.9444444444444444,72,
pad,0,0.1,sens-AK,,72,1.0
pad,0,0.1,cov-BKL,1.0,8,
pad,0,0.1,cov-SCC,0.7142857142857143,35,
pad,0,0.1,sens-SCC,,35,1.0
pad,0,0.15,cov-MEL,0.9166666666666666,12,
pad,0,0.15,sens-MEL,,12,1.0
