cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
hiba,0,0.05,B,170.0,False,0.9928825622775801,0.9705882352941176,,1.0,1.0,6.103202846975089,281
hiba,0,0.05,M1,25.0,False,1.0,1.0,0.0,1.0,1.0,6.5,18
hiba,0,0.05,M2,219.0,False,0.9672131147540983,0.9635416666666666,0.0,1.0,1.0,6.450819672131147,122
hiba,0,0.05,M3,25.0,False,1.0,1.0,0.0,1.0,1.0,6.571428571428571,14
hiba,0,0.05,cov-MEL,,,1.0,,,,,,47
hiba,0,0.05,sens-MEL,,,,,,1.0,,,47
hiba,0,0.05,cov-NV,,,1.0,,,,,,248
hiba,0,0.05,cov-BCC,,,1.0,,,,,,74
hiba,0,0.05,sens-BCC,,,,,,1.0,,,74
hiba,0,0.05,cov-AK,,,1.0,,,,,,11
hiba,0,0.05,sens-AK,,,,,,1.0,,,11
hiba,0,0.05,cov-BKL,,,1.0,,,,,,13
hiba,0,0.05,cov-DF,,,0.8,,,,,,10
hiba,0,0.05,cov-VASC,,,1.0,,,,,,10
hiba,0,0.05,cov-SCC,,,0.8181818181818182,,,,,,22
hiba,0,0.05,sens-SCC,,,,,,1.0,,,22
hiba,0,0.1,B,170.0,False,0.9822064056939501,0.9264705882352942,,1.0,1.0,4.516014234875445,281
hiba,0,0.1,M1,25.0,False,1.0,1.0,0.0,1.0,1.0,4.777777777777778,18
hiba,0,0.1,M2,219.0,False,0.9098360655737705,0.9010416666666666,0.0,1.0,1.0,4.188524590163935,122
hiba,0,0.1,M3,25.0,False,1.0,1.0,0.0,1.0,1.0,5.071428571428571,14
hiba,0,0.1,cov-MEL,,,0.9361702127659575,,,,,,47
hiba,0,0.1,sens-MEL,,,,,,1.0,,,47
hiba,0,0.1,cov-NV,,,1.0,,,,,,248
hiba,0,0.1,cov-BCC,,,0.9864864864864865,,,,,,74
hiba,0,0.1,sens-BCC,,,,,,1.0,,,74
hiba,0,0.1,cov-AK,,,0.9090909090909091,,,,,,11
hiba,0,0.1,sens-AK,,,,,,1.0,,,11
hiba,0,0.1,cov-BKL,,,1.0,,,,,,13
hiba,0,0.1,cov-DF,,,0.7,,,,,,10
hiba,0,0.1,cov-VASC,,,0.8,,,,,,10
hiba,0,0.1,cov-SCC,,,0.7272727272727273,,,,,,22
hiba,0,0.1,sens-SCC,,,,,,1.0,,,22
hiba,0,0.15,B,170.0,False,0.9644128113879004,0.8602941176470589,,1.0,1.0,3.5622775800711746,281
hiba,0,0.15,M1,25.0,False,0.8888888888888888,0.8518518518518519,0.0,1.0,1.0,3.611111111111111,18
hiba,0,0.15,M2,219.0,False,0.8688524590163934,0.8645833333333334,0.0,1.0,1.0,3.5245901639344264,122
hiba,0,0.15,M3,25.0,False,0.9285714285714286,0.8888888888888888,0.0,1.0,1.0,3.0714285714285716,14
hiba,0,0.15,cov-MEL,,,0.9148936170212766,,,,,,47
hiba,0,0.15,sens-MEL,,,,,,1.0,,,47
hiba,0,0.15,cov-NV,,,0.9919354838709677,,,,,,248
hiba,0,0.15,cov-BCC,,,0.9459459459459459,,,,,,74
hiba,0,0.15,sens-BCC,,,,,,1.0,,,74
hiba,0,0.15,cov-AK,,,0.7272727272727273,,,,,,11
hiba,0,0.15,sens-AK,,,,,,1.0,,,11
hiba,0,0.15,cov-BKL,,,1.0,,,,,,13
hiba,0,0.15,cov-DF,,,0.7,,,,,,10
hiba,0,0.15,cov-VASC,,,0.5,,,,,,10
hiba,0,0.15,cov-SCC,,,0.6363636363636364,,,,,,22
hiba,0,0.15,sens-SCC,,,,,,1.0,,,22
pad,0,0.05,B,20.0,False,1.0,1.0,,1.0,1.0,4.476190476190476,21
pad,0,0.05,M1,26.0,False,0.96,0.9761904761904762,0.0,1.0,1.0,4.04,25
pad,0,0.05,M2,156.0,False,0.9763313609467456,0.9808259587020649,0.0,1.0,1.0,4.4674556213017755,169
pad,0,0.05,M3,70.0,False,0.9722222222222222,0.96,0.0,1.0,1.0,4.083333333333333,72
pad,0,0.05,M4,10.0,True,1.0,1.0,0.0,1.0,1.0,5.571428571428571,7
pad,0,0.05,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,0,0.05,cov-MEL,,,1.0,,,,,,12
pad,0,0.05,sens-MEL,,,,,,1.0,,,12
pad,0,0.05,cov-NV,,,1.0,,,,,,13
pad,0,0.05,cov-BCC,,,1.0,,,,,,156
pad,0,0.05,sens-BCC,,,,,,1.0,,,156
pad,0,0.05,cov-AK,,,0.9583333333333334,,,,,,72
pad,0,0.05,sens-AK,,,,,,1.0,,,72
pad,0,0.05,cov-BKL,,,1.0,,,,,,8
pad,0,0.05,cov-SCC,,,0.8857142857142857,,,,,,35
pad,0,0.05,sens-SCC,,,,,,1.0,,,35
pad,0,0.1,B,20.0,False,1.0,1.0,,1.0,1.0,3.4285714285714284,21
pad,0,0.1,M1,26.0,False,0.84,0.9047619047619048,0.0,1.0,1.0,3.56,25
pad,0,0.1,M2,156.0,False,0.9112426035502958,0.9146649810366625,0.0,1.0,1.0,3.6449704142011834,169
pad,0,0.1,M3,70.0,False,0.8611111111111112,0.82,0.0,1.0,1.0,3.111111111111111,72
pad,0,0.1,M4,10.0,False,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,3.5714285714285716,7
pad,0,0.1,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,0,0.1,cov-MEL,,,0.8333333333333334,,,,,,12
pad,0,0.1,sens-MEL,,,,,,1.0,,,12
pad,0,0.1,cov-NV,,,1.0,,,,,,13
pad,0,0.1,cov-BCC,,,0.9423076923076923,,,,,,156
pad,0,0.1,sens-BCC,,,,,,1.0,,,156
pad,0,0.1,cov-AK,,,0.9305555555555556,,,,,,72
pad,0,0.1,sens-AK,,,,,,1.0,,,72
pad,0,0.1,cov-BKL,,,1.0,,,,,,8
pad,0,0.1,cov-SCC,,,0.5714285714285714,,,,,,35
pad,0,0.1,sens-SCC,,,,,,1.0,,,35
pad,0,0.15,B,20.0,False,1.0,1.0,,1.0,1.0,2.7142857142857144,21
pad,0,0.15,M1,26.0,False,0.8,0.8333333333333333,0.0,1.0,1.0,2.6,25
pad,0,0.15,M2,156.0,False,0.834319526627219,0.8263801095659503,0.0,1.0,1.0,2.710059171597633,169
pad,0,0.15,M3,70.0,False,0.75,0.7025,0.0,1.0,1.0,2.2777777777777777,72
pad,0,0.15,M4,10.0,False,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,3.4285714285714284,7
pad,0,0.15,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,0,0.15,cov-MEL,,,0.75,,,,,,12
pad,0,0.15,sens-MEL,,,,,,1.0,,,12
pad,0,0.15,cov-NV,,,1.0,,,,,,13
pad,0,0.15,cov-BCC,,,0.8397435897435898,,,,,,156
pad,0,0.15,sens-BCC,,,,,,1.0,,,156
pad,0,0.15,cov-AK,,,0.9166666666666666,,,,,,72
pad,0,0.15,sens-AK,,,,,,1.0,,,72
pad,0,0.15,cov-BKL,,,1.0,,,,,,8
pad,0,0.15,cov-SCC,,,0.45714285714285713,,,,,,35
pad,0,0.15,sens-SCC,,,,,,1.0,,,35
hiba,1,0.05,B,161.0,False,0.9859154929577465,0.9675324675324676,,1.0,1.0,6.253521126760563,213
hiba,1,0.05,M1,20.0,False,1.0,1.0,0.0,1.0,1.0,6.421052631578948,19
hiba,1,0.05,M2,230.0,False,0.9905660377358491,0.9941176470588236,0.0,1.0,1.0,6.584905660377358,106
