cohort,stratum,alpha,n_cal,deg_rate,cov,cov_sd,cov_min,cov_pw,miss,miss_sd,ref,ref_pw,set_size,n_test
hiba,B,0.05,166.22,0.0,0.9783,0.0178,0.8947,0.953,,,0.9998,1.0,5.5681,188.38
hiba,B,0.1,166.22,0.0,0.948,0.0266,0.8684,0.9061,,,0.9606,0.9774,3.8078,188.38
hiba,B,0.15,166.22,0.0,0.9175,0.0351,0.8158,0.8562,,,0.8592,0.9163,2.9757,188.38
hiba,M1,0.05,24.33,0.01,0.9682,0.0628,0.625,0.9626,0.0,0.0,1.0,1.0,6.1063,16.17
hiba,M1,0.1,24.33,0.0,0.8989,0.1082,0.5,0.9182,0.0,0.0,1.0,1.0,4.6112,16.17
hiba,M1,0.15,24.33,0.0,0.8565,0.1252,0.5,0.8794,0.013,0.0291,0.987,0.987,3.8643,16.17
hiba,M2,0.05,220.06,0.0,0.9521,0.0267,0.8504,0.9549,0.0001,0.0009,0.9999,0.9999,6.3904,121.52
hiba,M2,0.1,220.06,0.0,0.9054,0.0374,0.7826,0.9058,0.0081,0.0098,0.9919,0.9935,4.8108,121.52
hiba,M2,0.15,220.06,0.0,0.857,0.0456,0.7323,0.8625,0.019,0.0132,0.981,0.9838,3.9091,121.52
hiba,M3,0.05,23.84,0.02,0.9652,0.0746,0.5,0.9592,0.0,0.0,1.0,1.0,6.3221,13.11
hiba,M3,0.1,23.84,0.0,0.9324,0.0975,0.4286,0.924,0.0,0.0,1.0,1.0,4.7583,13.11
hiba,M3,0.15,23.84,0.0,0.8931,0.1065,0.4286,0.8811,0.0007,0.0071,0.9993,0.9992,3.9994,13.11
hiba,marginal-M1,0.05,396.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,6.0926,16.17
hiba,marginal-M1,0.1,396.0,0.0,0.972,0.0374,0.8571,,0.0,0.0,1.0,,4.5668,16.17
hiba,marginal-M1,0.15,396.0,0.0,0.9207,0.0692,0.7333,,0.0142,0.0255,0.9858,,3.5023,16.17
hiba,marginal-M2,0.05,396.0,0.0,0.9629,0.0238,0.8819,,0.0,0.0,1.0,,5.8553,121.52
hiba,marginal-M2,0.1,396.0,0.0,0.9249,0.0301,0.8361,,0.0061,0.0084,0.9939,,4.6342,121.52
hiba,marginal-M2,0.15,396.0,0.0,0.8792,0.0385,0.7739,,0.0153,0.0113,0.9847,,3.6457,121.52
hiba,marginal-M3,0.05,396.0,0.0,0.9952,0.0227,0.8333,,0.0,0.0,1.0,,6.0152,13.11
hiba,marginal-M3,0.1,396.0,0.0,0.976,0.0389,0.8333,,0.0,0.0,1.0,,4.9224,13.11
hiba,marginal-M3,0.15,396.0,0.0,0.925,0.0708,0.7143,,0.0,0.0,1.0,,3.8219,13.11
pad,B,0.05,22.84,0.1,0.9565,0.0661,0.7222,0.951,,,0.9915,0.9901,4.1485,18.81
pad,B,0.1,22.84,0.0,0.9211,0.0972,0.5,0.9116,,,0.9613,0.9562,3.3498,18.81
pad,B,0.15,22.84,0.0,0.8846,0.1081,0.4545,0.8696,,,0.9281,0.9336,2.946,18.81
pad,M1,0.05,23.96,0.05,0.976,0.0457,0.6667,0.9728,0.0,0.0,1.0,1.0,4.4791,27.06
pad,M1,0.1,23.96,0.0,0.9481,0.0696,0.5926,0.9397,0.0,0.0,1.0,1.0,3.6507,27.06
pad,M1,0.15,23.96,0.0,0.9074,0.0885,0.5926,0.8994,0.0,0.0,1.0,1.0,3.1234,27.06
pad,M2,0.05,161.16,0.0,0.9548,0.0235,0.8947,0.9547,0.0,0.0,1.0,1.0,4.2707,156.11
pad,M2,0.1,161.16,0.0,0.9074,0.0354,0.8153,0.9065,0.0002,0.0015,0.9998,0.9998,3.3376,156.11
pad,M2,0.15,161.16,0.0,0.8505,0.0379,0.758,0.857,0.0003,0.0024,0.9997,0.9996,2.8132,156.11
pad,M3,0.05,71.82,0.0,0.9662,0.0294,0.8784,0.9624,0.0,0.0,1.0,1.0,4.2714,71.65
